Formula,Remark,VdWRad_Mis,IonicRad_Mis,PeriodNum_Mis,AtomicNum_Mis,EN_Var,EA_Mm,Pol_m/n,MN_ Mis,σRT(ms/cm)
Li2.7In0.7Hf0.3Cl6,室温,0.052869604,0.18126103,0.163440399,0.345726853,1290.8957,211.5294653,22.73972603,0.221555507,1.28
Li2.5Y0.5Zr0.5Cl6,25℃,0.064160465,0.163441987,0.137083375,0.245280961,447.935,244.1582677,30,0.298659099,1.4
Li2.633Er0.633Zr0.367Cl6,25℃,0.091189815,0.173312179,0.177608805,0.354142156,852.029075,220.5117125,29.17808219,0.34727936,1.1
Li2.9Er0.9Zr0.1Cl6,25℃,0.082123172,0.171489675,0.182262235,0.34847896,852.029075,211.4161919,29.17808219,0.369538239,0.36
Li2.8Er0.8Zr0.2Cl6,25℃,0.080906586,0.172195263,0.180943908,0.351437601,852.029075,214.6989512,29.17808219,0.361505143,0.77
Li2.25Zr0.75Fe0.25Cl6,室温,0.042777329,0.17060367,0.129409454,0.238450061,447.935,250.8232955,18.90410959,0.264049935,0.98
Li2.6Yb0.6Hf0.4Cl6,30℃,0.083871453,0.181954729,0.18087632,0.344644274,1346.211275,197.3331349,27.80821918,0.341402246,1.5
Li2.8Yb0.8Zr0.2Cl6,30℃,0.091743319,0.176611408,0.180609013,0.354937121,979.884275,212.651942,28.42465753,0.334265153,1.2
Li2.7Zr0.3In0.7Cl6,30℃,0.039687497,0.176240541,0.139187571,0.289873586,905.4797,231.2590437,23.35616438,0.192300418,2.1
Li3Y(Br3Cl3),室温,0.055246991,0.135500176,0.099572402,0.167194129,1272.983,260.2967033,9.157303371,0.254943818,1.6
Li3HoBr3I3,室温,0.063436458,0.385493513,0.087049582,0.138988909,2548.730219,247.6788104,5.936920223,0.242377838,2.7
Li3YBr5.7F0.3 ,室温,0.048821402,0.122489364,0.071622731,0.099391438,1317.307875,268.9753367,13.17704123,0.223434699,1.8
Li3InCl4.8F1.2 ,室温,0.060269435,0.180967756,0.154515457,0.312879002,927.965075,216.2958996,12.48636859,0.155160558,0.51
Li2.7In0.4Hf0.6Cl6,室温,0.054396686,0.18642048,0.174849583,0.354486451,1721.194267,198.4433849,22.73972603,0.279549541,0.71
Li2.7In0.3Hf0.7Cl6,室温,0.054776831,0.187946922,0.177087958,0.353787769,1721.194267,194.3646649,22.73972603,0.296692954,0.31
Li2.9In0.9Hf0.1Cl6,室温,0.051494991,0.177825691,0.15023303,0.322775561,1721.194267,220.3954209,22.73972603,0.177357691,0.97
Li2.8In0.8Hf0.2Cl6,室温,0.052204139,0.183253618,0.156564248,0.330772456,1721.194267,209.7753925,22.73972603,0.199232949,1.05
Li2.5Er0.5Zr0.5Cl6,室温,0.087955552,0.174137107,0.173589102,0.352961463,1136.038767,225.3367461,29.17808219,0.335139594,0.9
Li2.5Sc0.5Zr0.5Cl6,室温,0.057065679,0.162433957,0.120842371,0.230533942,583.4571667,259.1025381,25.54794521,0.27222265,2.23
Li2.1Zr0.95Mg0.05Cl6,室温,0.058675271,0.174104728,0.135542462,0.244517674,507.314075,249.4998097,23.78082192,0.278491666,0.67
 Li2.6In0.6Zr0.4Cl6,室温,0.053967033,0.175562937,0.138506092,0.2858157,905.4797,234.3299465,23.35616438,0.204320846,1.25
 Li2In1/3Sc1/3Cl4,室温,0.052001958,0.159702697,0.135875378,0.295152543,970.8989,251.3914842,22.32876712,0.204748131,2
Li3Ho0.6In0.4Cl6,室温,0.088360055,0.169568798,0.140195909,0.345971648,1122.856869,216.0105541,26.36986301,0.298239878,2.5
Li2ZrCl5.2F0.8,室温,0.065542921,0.179651658,0.145541472,0.255655475,425.5322,242.4360236,15.04907306,0.286705057,0.2
Li2.375Sc0.375Zr0.625Cl6,室温,0.057557238,0.165394613,0.125584225,0.236597329,437.592875,256.8467363,25.54794521,0.27293061,2.2
Li2.375Sc0.375Hf0.625Cl6,室温,0.056306025,0.179279461,0.180674027,0.385702286,1119.241875,211.4286555,24.93150685,0.315587816,1.1
Li2ZrCl5.6F0.4,室温,0.062297168,0.17764017,0.14030727,0.249168272,425.5322,245.2071291,15.04907306,0.283037572,0.321
Li3YCl5F,室温,0.075912251,0.153141786,0.151248514,0.263497662,384.302475,235.1239804,17.77535442,0.324463638,0.22
Li2.6Sc0.6Zr0.4Cl6,室温,0.056378931,0.158407151,0.115289418,0.22152109,437.592875,262.6274949,25.54794521,0.268559124,1.61
Li2.556Yb0.492Zr0.492Cl6,室温,0.097672439,0.176017214,0.17398889,0.361140559,979.884275,225.773381,28.42465753,0.334840164,1.58
Li2.9In0.9Zr0.1Cl6,室温,0.051461814,0.175352671,0.139871121,0.298904194,955.8659188,228.1091067,23.35616438,0.164571968,1.54
Li3YBr2Cl4,室温,0.058944799,0.140588643,0.111879653,0.202952648,446.8326,255.776699,23.76712329,0.270397102,1.27
Li3AlF5.87Cl0.13,室温,0.093802382,0.184988502,0.089926112,0.164774776,350.0405688,247.2909623,15.46164384,0.210638675,0.2
Li2.8Zr0.2In0.8Cl6,室温,0.052295872,0.175432444,0.13943592,0.293417106,905.4797,230.1452159,23.35616438,0.178201592,1.39
Li1.7Zr0.7Ta0.3Cl6,室温,0.053907592,0.196230895,0.162975961,0.354289491,1421.3174,231.2158355,23.97260274,0.285120482,1.42
Li4YBr3.5I3.5,室温,0.036291657,0.114570108,0.073033787,0.115098354,2777.454475,269.0524064,6.048237477,0.188206788,1.5
Li3HoBr3.1I2.9,室温,0.063929485,0.1430716,0.068081223,0.125379072,2548.730219,247.693581,5.936920223,0.243194622,2.7
Li3HoBr6,室温,0.091093303,0.166509087,0.125622253,0.212529202,3199.737048,248.2126126,15.23809524,0.271122781,1.1
Li2.73Ho1.09Cl6,25℃,0.11098596,0.193731311,0.208694076,0.384990421,1796.003004,203.9843897,21.91780822,0.383841777,1.3
Li3HoCl6,室温,0.11105341,0.192034554,0.211789602,0.396368149,1796.003004,209.069697,21.91780822,0.375945763,0.29
Li2.73Dy1.09Cl6,室温,0.113139647,0.195859608,0.209002751,0.383198849,1732.032104,204.809617,22.53424658,0.381645173,0.9
Li2.73Y1.09Cl6,室温,0.079781834,0.174963788,0.160030194,0.28143225,914.5589037,237.0370611,22.32876712,0.32082518,0.7
Li2.73Er1.09Cl6,室温,0.110922686,0.199076677,0.208382532,0.386681151,1862.532548,203.1679136,21.50684932,0.384297973,0.64
Li2.73Tm1.09Cl6,室温,0.110856467,0.201978277,0.208068312,0.388275108,1931.680159,202.3600503,21.09589041,0.38560131,0.89
Li3TiCl6,25℃,0.050047278,0.189061434,0.090943061,0.149805025,740.2238667,268.4817204,18.08219178,0.251046538,1.04
Li3InCl6,室温,0.058510053,0.203182717,0.162208954,0.345184697,1967.1624,225.0436416,15.68493151,0.150998805,1.49
Li3ScCl6,室温,0.061982306,0.167128414,0.090001359,0.144989516,698.7593926,273.0293478,17.87671233,0.261224187,3.02
LiScCl4,室温,0.065363182,0.178312099,0.08689603,0.108437375,698.7593926,260.8942708,17.87671233,0.271216235,0.123
Li1.5ScCl4.5,室温,0.06435268,0.174771863,0.088388128,0.121430209,698.7593926,264.8253521,17.87671233,0.268018736,0.243
Li2ScCl5,室温,0.063464585,0.171809069,0.089269366,0.131175637,698.7593926,268.0508547,17.87671233,0.265366999,0.624
Li2.5ScCl5.5,室温,0.062679789,0.169292632,0.089762278,0.138815178,698.7593926,270.745098,17.87671233,0.263132542,2.57
Li3.5ScCl6.5,室温,0.061358951,0.165247062,0.090071356,0.150094813,698.7593926,274.9905724,17.87671233,0.25957547,2.42
Li4ScCl7,室温,0.060798882,0.163596346,0.090027422,0.154392448,698.7593926,276.6927673,17.87671233,0.258136818,1.98
LiAlCl4,室温,0.041115578,0.179082939,0.038330051,0.109305966,664.9076259,289.7971264,15.20547945,0.227215755,0.001
Li2ZrCl6,室温,0.068267781,0.203834996,0.156349722,0.280678428,1014.2244,247.1888889,18.90410959,0.281129385,0.81
Li3YCl6,室温,0.063297877,0.173078966,0.160140602,0.285405775,914.5589037,241.175,22.32876712,0.315718028,0.51
Li3ErCl6,25℃,0.111018929,0.19717712,0.211526901,0.398247015,1862.532548,208.2703518,21.50684932,0.37724076,0.087
Li3YBr6,25℃,0.067675648,0.139264344,0.075798609,0.104043939,2575.673748,270.6677966,15.52380952,0.168922588,0.72
Li1.52Mn1.24Cl4,25℃,0.027316409,0.188761829,0.095461198,0.157057442,791.0468259,226.1658929,15.89041096,0.22819721,0.015
Li1.6Mg1.2Cl4,室温,0.052247758,0.164932322,0.047472615,0.137888734,659.1361037,275.1528889,16.10958904,0.264551676,0.035
Li2Sc2/3Cl4,30℃,0.047279602,0.167128414,0.090001359,0.144989516,698.7593926,273.0293478,17.87671233,0.261224187,1.5
Li3YbCl6,30℃,0.108366335,0.203206003,0.210717912,0.400436336,2110.0884,205.919802,20.75342466,0.381041528,0.19
Li2.61Y1.13Cl6,25℃,0.064378517,0.175716772,0.159830295,0.279450564,914.5589037,235.2757003,22.32876712,0.322919583,0.38
Li3ScBr6,室温,0.048804323,0.12520412,0.056602968,0.124985166,2500.424993,289.1467033,12.42857143,0.177577114,1.4
Li3ErI6,室温,0.056734707,0.15731202,0.068056299,0.101810333,5139.177867,246.8884211,9.544072948,0.222150558,0.65
LiAlF4,室温,0.105586645,0.231359827,0.110653039,0.145562519,312.6754037,240.8427273,6.747720365,0.152265847,0.001
Li2.7AlF5.4,室温,0.109830876,0.221352187,0.102062073,0.1762723,312.6754037,241.9309091,6.747720365,0.210636433,0.075
Li3InBr6,室温,0.037316804,0.164044022,0.077926396,0.131483282,3335.352326,260.3621753,10.9047619,0.114091553,1
LiGaBr4,室温,0.025564893,0.178062377,0.038330631,0.075127707,2670.34727,267.7889169,10.19047619,0.089473425,0.007
Li2VCl4,室温,0.043430615,0.224075189,0.096824381,0.154608544,776.7182926,255,17.19178082,0.263263306,0.006
Li2MnCl4,室温,0.043446322,0.182278534,0.097554571,0.169977421,791.0468259,237.7722488,15.89041096,0.230632907,0.004
Li1.6Fe1.2Cl4,室温,0.042183783,0.198762368,0.09600704,0.16809505,914.5589037,231.6051282,15.47945205,0.210002586,0.013
Li3FeCl6,室温,0.043194839,0.172882649,0.093096682,0.177180107,914.5589037,262.7902439,15.47945205,0.204359794,0.13
Li6FeCl8,室温,0.046670354,0.169663155,0.096047534,0.198774235,914.5589037,268.3204188,15.47945205,0.224721912,0.22
Li6CoCl8,室温,0.044603158,0.142386638,0.096779397,0.205697518,968.9416148,273.7077922,15,0.217064671,0.062
Li3TbCl6,室温,0.059819921,0.188082417,0.212664693,0.394461843,1452.245067,212.5664122,22.87671233,0.370074113,0.2
Li3DyCl6,室温,0.113269441,0.193482257,0.21217601,0.395396053,1732.032104,210.9284635,22.53424658,0.372738778,0.1
Li3TmCl6,室温,0.111068396,0.199417414,0.211412042,0.401143082,1931.680159,208.5325062,21.09589041,0.376627309,0.1
Li3YI6,室温,0.02494699,0.125240673,0.053885225,0.098125266,4666.15717,262.4178899,9.90881459,0.176930318,0.1
Li3GaF6,室温,0.108466395,0.260094679,0.204090403,0.400112383,813.3258926,198.3736585,57.21925134,0.192137338,0.088
Li2.65YCl5.65,室温,0.079460728,0.173790214,0.159846922,0.282427175,914.5589037,239.1512433,22.32876712,0.31771285,0.205
Li2.83Y1.06Cl6,室温,0.079422547,0.17367663,0.159836614,0.282572578,914.5589037,239.3707474,22.32876712,0.317410995,0.57
Li2.727Y1.091Cl6,室温,0.079690102,0.174233305,0.159726354,0.28109662,914.5589037,238.0627118,22.32876712,0.318935756,0.69
Li3LaI6,室温,0.038242685,0.129811045,0.067104546,0.084575951,4776.07397,252.5661605,13.34346505,0.207154322,0.96
Li3TbBr6,室温,0.055606602,0.16314205,0.125069485,0.203437143,2936.59997,250.0145455,15.9047619,0.267539219,1.7
Li1.4MgCl3.4,室温,0.038006366,0.164477418,0.048179375,0.139335761,659.1361037,275.6222513,16.10958904,0.264059473,0.00869
Li4YI7,室温,0.023596251,0.120836405,0.057950203,0.102524175,4666.15717,264.2604374,9.90881459,0.170806992,1.04
